gutenberg_id,selection_numbers,filename,title,author,language,original_language,bytes,characters,lines,sha256,india_relevance,perspective,author_origin,domain,quality,boilerplate_status,duplicate_status,recommendation,estimated_tokens,reason
10071,[57],10071_ByWays_of_Bombay.txt,By-Ways of Bombay,"Edwardes, S. M. (Stephen Meredyth), 1873-1927",English,UNKNOWN,196922,196815,3336,9949b0e43edfade4f8b8ec651868e011c4b811b55a9bdb2f48fbd762ffab21c2,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,49203,Moderate India relevance identified.
10347,[58],10347_Free_from_School.txt,Free from School,"Alvares, Rahul",English,UNKNOWN,215272,215164,3913,c0f5f437774d8a3ec5dbfb6228014fbad94f00279826663c400a645d32d6f20e,LOW,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REVIEW,53791,Passing reference to India found.
10366,[12],10366_Freedoms_BattleBeing_a_Comprehensive_Collection_of_Writings_and_Speeches_on_the_Present_Situation.txt,"Freedom's Battle
Being a Comprehensive Collection of Writings and Speeches on the Present Situation","Gandhi, Mahatma, 1869-1948",English,UNKNOWN,478305,478201,8078,abf94075995dfe3c22792b5de72285433037436eebf68665dc3a6416f8118b84,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,119550,Moderate India relevance identified.
10946,[59],10946_Three_Frenchmen_in_BengalThe_Commercial_Ruin_of_the_French_Settlements_in_1757.txt,"Three Frenchmen in Bengal
The Commercial Ruin of the French Settlements in 1757","Hill, Samuel Charles, 1857-1926",English,UNKNOWN,316183,316047,6308,ef5a2bb78dd9ebf6d9244a263162d20ad5d08d5a9dbeb93ce412dd51d1f9db1f,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,79011,Moderate India relevance identified.
10999,[13],10999_Tales_of_Bengal.txt,Tales of Bengal,"Banerjea, S. B.; Skrine, Francis Henry, 1847-1933 [Editor]",English,UNKNOWN,286050,285371,5196,430882175e7bd8dfb344ce4eaa8f1ff341aa566ded55ba7425c987f6c6d091f0,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,71342,Moderate India relevance identified.
11167,[60],11167_Deccan_Nursery_Tales_or_Fairy_Tales_from_the_South.txt,"Deccan Nursery Tales; or, Fairy Tales from the South","Kincaid, C. A. (Charles Augustus), 1870-1954; Dhurandhar, M. V. (Mahadev Visvanath), 1867-1944 [Illustrator]",English,UNKNOWN,165382,165257,2792,7db4531d7923836876e57adb2f173d803f175a6be7d57dec30a868a4cd818810,LOW,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REVIEW,41314,Passing reference to India found.
11310,[14],11310_Hindu_Tales_from_the_Sanskrit.txt,Hindu Tales from the Sanskrit,"D'Anvers, N., 1844-1933 [Editor]; Mitra, Siddha Mohana, 1856-1925 [Translator]",English,UNKNOWN,251719,249659,4812,3fa083505719904e15c6d6dfd16330598b2f1526fc8c9cad7e40558fc077d2d1,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,62414,Moderate India relevance identified.
11399,[61],11399_The_Pirates_of_Malabar_and_an_Englishwoman_in_India_Two_Hundred_Years_Ago.txt,"The Pirates of Malabar, and an Englishwoman in India Two Hundred Years Ago","Biddulph, J. (John), 1840-1921",English,UNKNOWN,444671,444516,7764,a45245037e50d05cf79f75054c6da182e3a863e455327732f6d1b595e1fd42df,LOW,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REVIEW,111129,Passing reference to India found.
11738,[15],11738_Hindoo_Tales_Or_the_Adventures_of_Ten_Princes.txt,"Hindoo Tales; Or, the Adventures of Ten Princes","Dandin, active 7th century; Jacob, Philip Whittington, 1805-1889 [Translator]",English,UNKNOWN,319866,319298,6137,7fbf558599468e0a5c8a5fdc7fc90e927af7e08f37991be7eca10f6769d351c6,LOW,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REVIEW,79824,Passing reference to India found.
11897,[16],11897_On_the_Indian_Sect_of_the_Jainas.txt,On the Indian Sect of the Jainas,"Bühler, Georg, 1837-1898; Burgess, James, 1832-1916 [Editor]",English,UNKNOWN,145304,141679,2550,5760100492dc233f80a276d39196ddff17711d8e653399bbe50b62773e45482d,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,35419,Moderate India relevance identified.
