source_id,title,author,category,rebalanced_tier
24461,Third class in Indian railways,"Gandhi, Mahatma, 1869-1948","Pamphlets; India -- History -- British occupation, 1765-1947",INDIA CORE
25965,"Indian Poetry
Containing ""The Indian Song of Songs,"" from the Sanskrit of the Gîta Govinda of Jayadeva, Two books from ""The Iliad Of India"" (Mahábhárata), ""Proverbial Wisdom"" from the Shlokas of the Hitopadesa, and other Oriental Poems.","Arnold, Edwin, Sir, 1832-1904",Sanskrit poetry -- Translations into English,INDIA CORE
40461,Indian Home Rule,"Gandhi, Mahatma, 1869-1948",India -- Politics and government -- 1919-1947; Nationalism -- India,INDIA CORE
75542,The coins of India,"Brown, C. J. (Cecil Jermyn), 1886-1945; Azariah, Vedanayagam Samuel, 1874-1945 [Editor]; Farquhar, J. N. (John Nicol), 1861-1929 [Editor]",Numismatics -- India,INDIA CORE
336,Indian Heroes and Great Chieftains,"Eastman, Charles A., 1858-1939",Heroes; Indians of North America -- Biography; Dakota Indians -- Biography,INDIA CONTEXT
337,Indian Boyhood,"Eastman, Charles A., 1858-1939","Indians of North America -- Biography; Indian children -- North America; Eastman, Charles Alexander, 1858-1939 -- Childhood and youth; Santee Indians -- Social life and customs; Santee Indians -- Biography",INDIA CONTEXT
338,Old Indian Legends,"Zitkala-Sa, 1876-1938",Dakota Indians -- Folklore,INDIA CONTEXT
339,Old Indian Days,"Eastman, Charles A., 1858-1939",Indians of North America -- Fiction; Dakota Indians -- Fiction,INDIA CONTEXT
340,The Soul of the Indian: An Interpretation,"Eastman, Charles A., 1858-1939",Indians of North America -- Religion; Indian mythology -- North America; Indian philosophy -- North America,INDIA CONTEXT
606,Indian Why Stories: Sparks from War Eagle's Lodge-Fire,"Linderman, Frank Bird, 1869-1938",Siksika Indians -- Folklore; Ojibwa Indians -- Folklore; Cree Indians -- Folklore; Tales -- Montana; Indian mythology -- Montana,INDIA CONTEXT
879,The Boy Captives: An Incident of the Indian War of 1695,"Whittier, John Greenleaf, 1807-1892",Indian captivities; Haverhill (Mass.) -- History,INDIA CONTEXT
938,Good Indian,"Bower, B. M., 1871-1940",Western stories; Ranch life -- Fiction; Idaho -- Fiction,INDIA CONTEXT
